pre,post,dif
68,62,0
60,54,0
62,58,2
48,44,2
72,68,2
72,69,3
56,54,3
58,56,4
40,38,4
52,50,4
68,68,6
52,52,6
52,52,6
48,48,6
44,44,6
40,40,6
54,56,8
62,64,8
36,40,10
48,52,10
68,72,10
64,68,10
60,64,10
60,64,10
48,52,10
44,50,12
60,66,12
64,71,13
56,64,14
56,64,14
38,46,14
64,72,14
32,40,14
40,50,16
44,56,18
44,56,18
48,60,18
64,76,18
52,64,18
36,48,18
40,52,18
52,64,18
44,59,21
36,52,22
48,64,22
64,80,22
64,80,22
48,64,22
50,68,24
52,72,26
56,80,30
40,64,30
40,64,30
48,72,30
28,56,34
36,64,34
52,80,34
48,80,38
36,68,38
40,72,38
